0,0.002
1000000,0.00408.1
2000000,0.00415.7
3000000,0.00422.0
4000000,0.00428.8
5000000,0.00435.7
6000000,0.00443.0
7000000,0.00450.0
8000000,0.00457.1
9000000,0.00463.9
10000000,0.00472.0
11000000,0.00479.0
12000000,0.00486.1
