SN74HC00,Up,Down
0,0,0
0.00488759,4.94135,4.94624
0.00977517,4.94135,4.94624
0.0146628,4.94624,4.94624
0.0195503,4.94135,4.94624
0.0244379,4.94624,4.94624
0.0293255,4.94624,4.94624
0.0342131,4.94135,4.94624
0.0391007,4.94624,4.94624
0.0439883,4.94624,4.94624
0.0488759,4.94624,4.94624
0.0537634,4.94135,4.94135
0.058651,4.94135,4.94624
0.0635386,4.94135,4.94624
0.0684262,4.94135,4.94135
0.0733138,4.94135,4.94624
0.0782014,4.94135,4.94624
0.083089,4.94135,4.94624
0.0879765,4.94624,4.94624
0.0928641,4.94135,4.94135
0.0977517,4.94135,4.94624
0.102639,4.94624,4.94135
0.107527,4.94135,4.94135
0.112414,4.94624,4.94624
0.117302,4.94135,4.94624
0.12219,4.94135,4.94624
0.127077,4.94135,4.94624
0.131965,4.94135,4.94624
0.136852,4.94135,4.94624
0.14174,4.94135,4.94135
0.146628,4.94135,4.94624
0.151515,4.94135,4.94624
0.156403,4.94135,4.94624
0.16129,4.94624,4.94624
0.166178,4.94135,4.94624
0.171065,4.94624,4.94624
0.175953,4.94135,4.94624
0.180841,4.94135,4.94135
0.185728,4.94135,4.94135
0.190616,4.94135,4.94624
0.195503,4.94135,4.94624
0.200391,4.94135,4.94624
0.205279,4.94135,4.94624
0.210166,4.94135,4.94624
0.215054,4.94135,4.94624
0.219941,4.94135,4.94624
0.224829,4.94135,4.94624
0.229717,4.94624,4.94624
0.234604,4.94624,4.94624
0.239492,4.94135,4.94624
0.244379,4.94624,4.94135
0.249267,4.94624,4.94624
0.254154,4.94135,4.94135
0.259042,4.94135,4.94135
0.26393,4.94624,4.94624
0.268817,4.94135,4.94624
0.273705,4.94624,4.94624
0.278592,4.94135,4.94624
0.28348,4.94135,4.94624
0.288368,4.94624,4.94624
0.293255,4.94135,4.94135
0.298143,4.94624,4.94624
0.30303,4.94135,4.94135
0.307918,4.94135,4.94624
0.312805,4.94624,4.94624
0.317693,4.94135,4.94624
0.322581,4.94624,4.94624
0.327468,4.94135,4.94624
0.332356,4.94135,4.94624
0.337243,4.94135,4.94624
0.342131,4.94135,4.94624
0.347019,4.94624,4.94624
0.351906,4.94624,4.94624
0.356794,4.94624,4.94624
0.361681,4.94624,4.94135
0.366569,4.94624,4.94624
0.371457,4.94135,4.94624
0.376344,4.94624,4.94135
0.381232,4.94135,4.94624
0.386119,4.94624,4.94624
0.391007,4.94624,4.94624
0.395894,4.94624,4.94624
0.400782,4.94135,4.94135
0.40567,4.94135,4.94624
0.410557,4.94624,4.94135
0.415445,4.94135,4.94624
0.420332,4.94135,4.94624
0.42522,4.94135,4.94624
0.430108,4.94135,4.94624
