MM74C00,Up,Down
0.904203,4.78983,4.78983
0.909091,4.78983,4.78983
0.913978,4.78983,4.78983
0.918866,4.78983,4.78983
0.923754,4.78983,4.78983
0.928641,4.78983,4.78983
0.933529,4.78983,4.78983
0.938416,4.78983,4.78983
0.943304,4.78495,4.78983
0.948192,4.78983,4.78983
0.953079,4.78495,4.78983
0.957967,4.78495,4.78983
0.962854,4.78495,4.78495
0.967742,4.78495,4.78495
0.97263,4.78495,4.78495
0.977517,4.78495,4.78495
0.982405,4.78495,4.78495
0.987292,4.78495,4.78495
0.99218,4.78495,4.78495
0.997067,4.78495,4.78495
1.00196,4.78495,4.78495
1.00684,4.78495,4.78495
1.01173,4.78495,4.78495
1.01662,4.78495,4.78495
1.02151,4.78495,4.78495
1.02639,4.78495,4.78495
1.03128,4.78495,4.78495
1.03617,4.78495,4.78495
1.04106,4.78006,4.78495
1.04594,4.78495,4.78006
1.05083,4.78006,4.78495
1.05572,4.78006,4.78495
1.06061,4.78006,4.78006
1.06549,4.78006,4.78006
1.07038,4.78006,4.78006
1.07527,4.78006,4.78006
1.08016,4.78006,4.78006
1.08504,4.78006,4.78006
1.08993,4.78006,4.78006
1.09482,4.78006,4.78006
1.09971,4.78006,4.78006
1.10459,4.78006,4.78006
1.10948,4.77517,4.78006
1.11437,4.78006,4.78006
1.11926,4.77517,4.78006
1.12414,4.77517,4.78006
1.12903,4.77517,4.78006
1.13392,4.77517,4.78006
1.13881,4.77517,4.77517
1.1437,4.77517,4.77517
1.14858,4.77517,4.77517
1.15347,4.77517,4.77517
1.15836,4.77517,4.77517
1.16325,4.77517,4.77517
1.16813,4.77517,4.77517
1.17302,4.77517,4.77517
1.17791,4.77517,4.77517
1.1828,4.77517,4.77517
1.18768,4.77517,4.77517
1.19257,4.77028,4.77517
1.19746,4.77517,4.77517
1.20235,4.77028,4.77517
1.20723,4.77028,4.77517
1.21212,4.77028,4.77028
1.21701,4.77028,4.77028
1.2219,4.77028,4.77028
1.22678,4.77028,4.77028
1.23167,4.77028,4.77028
1.23656,4.77028,4.77028
1.24145,4.77028,4.77028
1.24633,4.77028,4.77028
1.25122,4.77028,4.77028
1.25611,4.77028,4.77028
1.261,4.77028,4.77028
1.26588,4.77028,4.77028
1.27077,4.77028,4.77028
1.27566,4.7654,4.77028
1.28055,4.7654,4.77028
1.28543,4.7654,4.77028
1.29032,4.7654,4.77028
1.29521,4.7654,4.7654
1.3001,4.7654,4.7654
1.30499,4.7654,4.7654
1.30987,4.7654,4.7654
1.31476,4.7654,4.7654
1.31965,4.7654,4.7654
1.32454,4.7654,4.7654
1.32942,4.7654,4.7654
