SN74LS26N,Up,Down
1.39785,0.131965,0.131965
1.40274,0.127077,0.127077
1.40762,0.127077,0.131965
1.41251,0.127077,0.131965
1.4174,0.127077,0.127077
1.42229,0.127077,0.127077
1.42717,0.127077,0.127077
1.43206,0.127077,0.131965
1.43695,0.127077,0.131965
1.44184,0.127077,0.131965
1.44673,0.131965,0.131965
1.45161,0.127077,0.127077
1.4565,0.127077,0.127077
1.46139,0.127077,0.127077
1.46628,0.127077,0.127077
1.47116,0.127077,0.127077
1.47605,0.127077,0.127077
1.48094,0.127077,0.127077
1.48583,0.127077,0.127077
1.49071,0.127077,0.127077
1.4956,0.127077,0.127077
1.50049,0.127077,0.127077
1.50538,0.127077,0.127077
1.51026,0.127077,0.127077
1.51515,0.127077,0.127077
1.52004,0.127077,0.127077
1.52493,0.127077,0.127077
1.52981,0.127077,0.127077
1.5347,0.127077,0.127077
1.53959,0.127077,0.127077
1.54448,0.127077,0.127077
1.54936,0.127077,0.127077
1.55425,0.127077,0.127077
1.55914,0.127077,0.127077
1.56403,0.127077,0.127077
1.56891,0.127077,0.127077
1.5738,0.127077,0.127077
1.57869,0.127077,0.127077
1.58358,0.127077,0.127077
1.58847,0.127077,0.127077
1.59335,0.127077,0.127077
1.59824,0.127077,0.127077
1.60313,0.127077,0.127077
1.60802,0.127077,0.127077
1.6129,0.127077,0.127077
1.61779,0.127077,0.127077
1.62268,0.127077,0.127077
1.62757,0.12219,0.12219
1.63245,0.127077,0.127077
1.63734,0.12219,0.127077
1.64223,0.127077,0.127077
1.64712,0.127077,0.127077
1.652,0.127077,0.127077
1.65689,0.127077,0.127077
1.66178,0.127077,0.127077
1.66667,0.12219,0.127077
1.67155,0.127077,0.127077
1.67644,0.127077,0.12219
1.68133,0.127077,0.127077
1.68622,0.127077,0.127077
1.6911,0.127077,0.127077
1.69599,0.127077,0.127077
1.70088,0.127077,0.127077
1.70577,0.127077,0.127077
1.71065,0.127077,0.127077
1.71554,0.127077,0.127077
1.72043,0.12219,0.127077
1.72532,0.127077,0.127077
1.73021,0.12219,0.127077
1.73509,0.127077,0.127077
1.73998,0.127077,0.127077
1.74487,0.127077,0.127077
1.74976,0.127077,0.127077
1.75464,0.12219,0.127077
1.75953,0.127077,0.127077
1.76442,0.127077,0.127077
1.76931,0.127077,0.12219
1.77419,0.127077,0.127077
1.77908,0.127077,0.127077
1.78397,0.127077,0.127077
1.78886,0.127077,0.127077
1.79374,0.127077,0.127077
1.79863,0.127077,0.127077
1.80352,0.127077,0.12219
1.80841,0.127077,0.127077
1.81329,0.12219,0.127077
1.81818,0.127077,0.127077
1.82307,0.12219,0.127077
1.82796,0.127077,0.127077
1.83284,0.12219,0.127077
1.83773,0.127077,0.127077
1.84262,0.127077,0.127077
1.84751,0.127077,0.127077
1.85239,0.127077,0.127077
1.85728,0.127077,0.127077
1.86217,0.127077,0.127077
1.86706,0.127077,0.127077
1.87195,0.127077,0.127077
1.87683,0.127077,0.127077
1.88172,0.127077,0.127077
1.88661,0.12219,0.127077
1.8915,0.12219,0.12219
1.89638,0.127077,0.127077
1.90127,0.127077,0.127077
1.90616,0.127077,0.127077
1.91105,0.127077,0.127077
1.91593,0.127077,0.127077
1.92082,0.127077,0.127077
1.92571,0.127077,0.127077
1.9306,0.127077,0.127077
1.93548,0.127077,0.127077
1.94037,0.127077,0.127077
1.94526,0.127077,0.127077
1.95015,0.127077,0.127077
1.95503,0.127077,0.127077
1.95992,0.127077,0.127077
1.96481,0.127077,0.127077
1.9697,0.127077,0.127077
1.97458,0.127077,0.127077
1.97947,0.127077,0.127077
1.98436,0.127077,0.127077
1.98925,0.127077,0.127077
1.99413,0.127077,0.127077
1.99902,0.127077,0.127077
2.00391,0.127077,0.127077
2.0088,0.127077,0.127077
2.01369,0.127077,0.127077
2.01857,0.127077,0.127077
2.02346,0.127077,0.127077
2.02835,0.127077,0.127077
2.03324,0.127077,0.127077
2.03812,0.127077,0.127077
2.04301,0.127077,0.127077
2.0479,0.127077,0.127077
2.05279,0.127077,0.127077
2.05767,0.12219,0.127077
2.06256,0.127077,0.127077
2.06745,0.127077,0.127077
2.07234,0.127077,0.127077
2.07722,0.127077,0.127077
2.08211,0.127077,0.127077
2.087,0.127077,0.127077
2.09189,0.127077,0.127077
2.09677,0.12219,0.127077
2.10166,0.127077,0.127077
2.10655,0.127077,0.127077
2.11144,0.127077,0.127077
2.11632,0.127077,0.127077
2.12121,0.127077,0.127077
2.1261,0.127077,0.127077
2.13099,0.127077,0.127077
2.13587,0.127077,0.127077
2.14076,0.127077,0.127077
2.14565,0.12219,0.127077
2.15054,0.127077,0.127077
2.15543,0.127077,0.127077
2.16031,0.127077,0.127077
2.1652,0.127077,0.127077
2.17009,0.127077,0.127077
2.17498,0.127077,0.127077
2.17986,0.127077,0.127077
2.18475,0.127077,0.127077
2.18964,0.127077,0.127077
2.19453,0.127077,0.127077
2.19941,0.127077,0.127077
2.2043,0.127077,0.127077
2.20919,0.127077,0.127077
2.21408,0.127077,0.12219
2.21896,0.127077,0.127077
2.22385,0.127077,0.127077
2.22874,0.127077,0.127077
2.23363,0.127077,0.127077
2.23851,0.127077,0.127077
2.2434,0.12219,0.127077
2.24829,0.127077,0.127077
2.25318,0.127077,0.127077
2.25806,0.127077,0.127077
2.26295,0.127077,0.127077
2.26784,0.127077,0.127077
2.27273,0.127077,0.127077
2.27761,0.127077,0.127077
2.2825,0.127077,0.127077
2.28739,0.127077,0.127077
2.29228,0.127077,0.127077
2.29717,0.127077,0.127077
2.30205,0.127077,0.127077
2.30694,0.127077,0.127077
2.31183,0.127077,0.127077
2.31672,0.127077,0.127077
2.3216,0.127077,0.127077
2.32649,0.127077,0.127077
2.33138,0.127077,0.127077
2.33627,0.127077,0.127077
2.34115,0.127077,0.127077
2.34604,0.127077,0.127077
2.35093,0.127077,0.127077
2.35582,0.127077,0.127077
2.3607,0.127077,0.127077
2.36559,0.127077,0.127077
2.37048,0.127077,0.127077
2.37537,0.127077,0.127077
2.38025,0.127077,0.127077
2.38514,0.127077,0.127077
2.39003,0.127077,0.12219
2.39492,0.127077,0.127077
2.3998,0.127077,0.127077
2.40469,0.127077,0.127077
2.40958,0.127077,0.127077
2.41447,0.127077,0.127077
2.41935,0.127077,0.127077
2.42424,0.127077,0.12219
2.42913,0.127077,0.127077
2.43402,0.127077,0.127077
2.43891,0.127077,0.127077
2.44379,0.127077,0.127077
2.44868,0.127077,0.127077
2.45357,0.127077,0.127077
2.45846,0.127077,0.127077
2.46334,0.127077,0.127077
2.46823,0.127077,0.127077
2.47312,0.127077,0.127077
2.47801,0.127077,0.127077
2.48289,0.127077,0.127077
2.48778,0.127077,0.127077
2.49267,0.127077,0.127077
2.49756,0.127077,0.127077
2.50244,0.12219,0.127077
2.50733,0.127077,0.127077
2.51222,0.127077,0.127077
2.51711,0.127077,0.127077
2.52199,0.127077,0.127077
2.52688,0.12219,0.127077
2.53177,0.127077,0.127077
2.53666,0.127077,0.127077
2.54154,0.127077,0.127077
2.54643,0.127077,0.127077
2.55132,0.127077,0.12219
2.55621,0.127077,0.127077
2.56109,0.127077,0.127077
2.56598,0.127077,0.127077
2.57087,0.127077,0.127077
2.57576,0.127077,0.127077
2.58065,0.127077,0.127077
2.58553,0.127077,0.127077
2.59042,0.127077,0.12219
2.59531,0.127077,0.127077
2.6002,0.127077,0.127077
2.60508,0.127077,0.127077
2.60997,0.127077,0.127077
2.61486,0.12219,0.127077
2.61975,0.127077,0.127077
2.62463,0.127077,0.127077
2.62952,0.127077,0.127077
2.63441,0.127077,0.127077
2.6393,0.127077,0.127077
2.64418,0.127077,0.127077
2.64907,0.127077,0.127077
2.65396,0.127077,0.127077
2.65885,0.127077,0.127077
2.66373,0.127077,0.127077
2.66862,0.127077,0.127077
2.67351,0.127077,0.127077
2.6784,0.127077,0.127077
2.68328,0.127077,0.127077
2.68817,0.12219,0.127077
2.69306,0.127077,0.127077
2.69795,0.127077,0.127077
2.70283,0.127077,0.127077
2.70772,0.127077,0.127077
2.71261,0.127077,0.127077
2.7175,0.127077,0.127077
2.72239,0.127077,0.127077
2.72727,0.127077,0.127077
2.73216,0.12219,0.127077
2.73705,0.127077,0.127077
2.74194,0.127077,0.127077
2.74682,0.127077,0.127077
2.75171,0.127077,0.12219
2.7566,0.127077,0.127077
2.76149,0.127077,0.127077
2.76637,0.127077,0.127077
2.77126,0.127077,0.12219
2.77615,0.127077,0.127077
2.78104,0.127077,0.127077
2.78592,0.127077,0.127077
2.79081,0.127077,0.127077
2.7957,0.127077,0.127077
2.80059,0.127077,0.127077
2.80547,0.127077,0.127077
2.81036,0.127077,0.127077
2.81525,0.127077,0.127077
2.82014,0.127077,0.127077
2.82502,0.127077,0.127077
2.82991,0.127077,0.127077
2.8348,0.127077,0.12219
2.83969,0.127077,0.127077
2.84457,0.127077,0.127077
2.84946,0.127077,0.127077
2.85435,0.127077,0.127077
2.85924,0.12219,0.12219
2.86413,0.127077,0.127077
2.86901,0.127077,0.127077
2.8739,0.12219,0.127077
2.87879,0.127077,0.127077
2.88368,0.127077,0.127077
2.88856,0.127077,0.127077
2.89345,0.12219,0.127077
2.89834,0.127077,0.12219
2.90323,0.127077,0.12219
2.90811,0.127077,0.127077
2.913,0.127077,0.127077
2.91789,0.127077,0.127077
2.92278,0.12219,0.127077
2.92766,0.127077,0.127077
2.93255,0.12219,0.127077
2.93744,0.127077,0.127077
2.94233,0.127077,0.12219
2.94721,0.127077,0.127077
2.9521,0.127077,0.127077
2.95699,0.127077,0.127077
2.96188,0.127077,0.127077
2.96676,0.127077,0.12219
2.97165,0.127077,0.127077
2.97654,0.127077,0.12219
2.98143,0.127077,0.127077
2.98631,0.12219,0.127077
2.9912,0.12219,0.127077
2.99609,0.127077,0.127077
3.00098,0.127077,0.127077
3.00587,0.127077,0.127077
3.01075,0.127077,0.127077
3.01564,0.127077,0.127077
3.02053,0.127077,0.12219
3.02542,0.127077,0.127077
3.0303,0.127077,0.127077
3.03519,0.127077,0.127077
3.04008,0.127077,0.127077
3.04497,0.127077,0.127077
3.04985,0.127077,0.127077
3.05474,0.127077,0.127077
3.05963,0.127077,0.127077
3.06452,0.127077,0.12219
3.0694,0.127077,0.12219
3.07429,0.127077,0.127077
3.07918,0.127077,0.127077
3.08407,0.127077,0.127077
3.08895,0.127077,0.12219
3.09384,0.12219,0.127077
3.09873,0.127077,0.127077
3.10362,0.127077,0.127077
3.1085,0.127077,0.127077
3.11339,0.127077,0.127077
3.11828,0.127077,0.127077
3.12317,0.127077,0.127077
3.12805,0.127077,0.127077
3.13294,0.127077,0.127077
3.13783,0.12219,0.127077
3.14272,0.127077,0.127077
3.14761,0.12219,0.127077
3.15249,0.127077,0.127077
3.15738,0.127077,0.127077
3.16227,0.127077,0.127077
3.16716,0.127077,0.127077
3.17204,0.127077,0.127077
3.17693,0.127077,0.127077
3.18182,0.127077,0.127077
3.18671,0.127077,0.127077
3.19159,0.127077,0.127077
3.19648,0.127077,0.127077
3.20137,0.127077,0.127077
3.20626,0.127077,0.127077
3.21114,0.127077,0.127077
3.21603,0.127077,0.127077
3.22092,0.127077,0.127077
3.22581,0.127077,0.127077
3.23069,0.127077,0.127077
3.23558,0.127077,0.127077
3.24047,0.127077,0.127077
3.24536,0.127077,0.127077
3.25024,0.12219,0.127077
3.25513,0.127077,0.127077
3.26002,0.127077,0.12219
3.26491,0.127077,0.127077
3.26979,0.127077,0.127077
3.27468,0.127077,0.12219
3.27957,0.127077,0.127077
3.28446,0.127077,0.127077
3.28935,0.127077,0.127077
3.29423,0.127077,0.127077
3.29912,0.127077,0.127077
3.30401,0.12219,0.12219
3.3089,0.127077,0.127077
3.31378,0.127077,0.127077
3.31867,0.127077,0.12219
3.32356,0.127077,0.127077
3.32845,0.127077,0.12219
3.33333,0.127077,0.127077
3.33822,0.127077,0.12219
3.34311,0.12219,0.127077
3.348,0.127077,0.127077
3.35288,0.127077,0.127077
3.35777,0.127077,0.127077
3.36266,0.127077,0.127077
3.36755,0.127077,0.127077
3.37243,0.127077,0.127077
3.37732,0.127077,0.127077
3.38221,0.127077,0.127077
3.3871,0.127077,0.127077
3.39198,0.127077,0.12219
3.39687,0.127077,0.127077
3.40176,0.127077,0.127077
3.40665,0.12219,0.127077
3.41153,0.127077,0.127077
3.41642,0.127077,0.127077
3.42131,0.127077,0.127077
3.4262,0.127077,0.127077
3.43109,0.127077,0.127077
3.43597,0.127077,0.127077
3.44086,0.12219,0.127077
3.44575,0.127077,0.127077
3.45064,0.127077,0.127077
3.45552,0.127077,0.127077
3.46041,0.127077,0.127077
3.4653,0.127077,0.127077
3.47019,0.127077,0.127077
3.47507,0.127077,0.127077
3.47996,0.127077,0.127077
3.48485,0.127077,0.127077
3.48974,0.127077,0.127077
3.49462,0.127077,0.12219
3.49951,0.127077,0.127077
3.5044,0.127077,0.127077
3.50929,0.127077,0.127077
3.51417,0.127077,0.127077
3.51906,0.127077,0.12219
3.52395,0.127077,0.127077
3.52884,0.127077,0.127077
3.53372,0.127077,0.12219
3.53861,0.127077,0.127077
3.5435,0.127077,0.127077
3.54839,0.127077,0.127077
3.55327,0.127077,0.127077
3.55816,0.127077,0.127077
3.56305,0.12219,0.127077
3.56794,0.127077,0.127077
3.57283,0.127077,0.127077
3.57771,0.127077,0.127077
3.5826,0.127077,0.127077
3.58749,0.127077,0.127077
3.59238,0.127077,0.127077
3.59726,0.127077,0.127077
3.60215,0.127077,0.127077
3.60704,0.127077,0.127077
3.61193,0.127077,0.127077
3.61681,0.127077,0.127077
3.6217,0.127077,0.127077
3.62659,0.127077,0.127077
3.63148,0.127077,0.127077
3.63636,0.127077,0.127077
3.64125,0.127077,0.127077
3.64614,0.127077,0.127077
3.65103,0.127077,0.127077
3.65591,0.127077,0.127077
3.6608,0.127077,0.127077
3.66569,0.12219,0.127077
3.67058,0.127077,0.12219
3.67546,0.127077,0.12219
3.68035,0.127077,0.127077
3.68524,0.127077,0.127077
3.69013,0.127077,0.127077
3.69501,0.127077,0.127077
3.6999,0.127077,0.12219
3.70479,0.127077,0.127077
3.70968,0.127077,0.12219
3.71457,0.127077,0.127077
3.71945,0.127077,0.127077
3.72434,0.127077,0.12219
3.72923,0.127077,0.127077
3.73412,0.127077,0.127077
3.739,0.127077,0.127077
3.74389,0.127077,0.127077
3.74878,0.127077,0.127077
3.75367,0.127077,0.127077
3.75855,0.127077,0.127077
3.76344,0.127077,0.12219
3.76833,0.127077,0.127077
3.77322,0.127077,0.127077
3.7781,0.127077,0.127077
3.78299,0.127077,0.127077
3.78788,0.12219,0.127077
3.79277,0.127077,0.12219
3.79765,0.127077,0.127077
3.80254,0.127077,0.12219
3.80743,0.127077,0.127077
3.81232,0.127077,0.127077
3.8172,0.127077,0.127077
3.82209,0.127077,0.127077
3.82698,0.127077,0.127077
3.83187,0.127077,0.127077
3.83675,0.127077,0.127077
3.84164,0.127077,0.127077
3.84653,0.127077,0.127077
3.85142,0.127077,0.127077
3.8563,0.127077,0.127077
3.86119,0.127077,0.127077
3.86608,0.127077,0.127077
3.87097,0.127077,0.127077
3.87586,0.127077,0.127077
3.88074,0.127077,0.127077
3.88563,0.127077,0.127077
3.89052,0.127077,0.127077
3.89541,0.127077,0.127077
3.90029,0.127077,0.127077
3.90518,0.127077,0.127077
3.91007,0.127077,0.127077
3.91496,0.127077,0.127077
3.91984,0.127077,0.127077
3.92473,0.127077,0.127077
3.92962,0.127077,0.127077
3.93451,0.12219,0.127077
3.93939,0.127077,0.127077
3.94428,0.127077,0.127077
3.94917,0.127077,0.127077
3.95406,0.127077,0.127077
3.95894,0.127077,0.127077
3.96383,0.127077,0.127077
3.96872,0.127077,0.127077
3.97361,0.127077,0.12219
3.97849,0.127077,0.127077
3.98338,0.127077,0.127077
3.98827,0.127077,0.127077
3.99316,0.12219,0.127077
3.99804,0.127077,0.127077
4.00293,0.127077,0.127077
4.00782,0.127077,0.127077
4.01271,0.127077,0.127077
4.0176,0.127077,0.127077
4.02248,0.127077,0.12219
4.02737,0.127077,0.12219
4.03226,0.127077,0.12219
4.03715,0.127077,0.127077
4.04203,0.127077,0.127077
4.04692,0.127077,0.12219
4.05181,0.127077,0.127077
4.0567,0.127077,0.127077
4.06158,0.127077,0.127077
4.06647,0.127077,0.127077
4.07136,0.127077,0.127077
4.07625,0.127077,0.127077
4.08113,0.127077,0.127077
4.08602,0.127077,0.127077
4.09091,0.127077,0.127077
4.0958,0.127077,0.127077
4.10068,0.127077,0.127077
4.10557,0.127077,0.127077
4.11046,0.127077,0.127077
4.11535,0.127077,0.127077
4.12023,0.127077,0.127077
4.12512,0.127077,0.127077
4.13001,0.127077,0.127077
4.1349,0.127077,0.127077
4.13978,0.127077,0.127077
4.14467,0.12219,0.127077
4.14956,0.127077,0.127077
4.15445,0.127077,0.12219
4.15934,0.127077,0.127077
4.16422,0.127077,0.127077
4.16911,0.127077,0.127077
4.174,0.127077,0.127077
4.17889,0.127077,0.127077
4.18377,0.127077,0.127077
4.18866,0.127077,0.127077
4.19355,0.127077,0.127077
4.19844,0.127077,0.127077
4.20332,0.127077,0.127077
4.20821,0.127077,0.127077
4.2131,0.127077,0.127077
4.21799,0.127077,0.127077
4.22287,0.127077,0.12219
4.22776,0.127077,0.127077
4.23265,0.127077,0.127077
4.23754,0.127077,0.127077
4.24242,0.127077,0.127077
4.24731,0.127077,0.127077
4.2522,0.12219,0.12219
4.25709,0.127077,0.127077
4.26197,0.127077,0.127077
4.26686,0.127077,0.127077
4.27175,0.127077,0.127077
4.27664,0.127077,0.12219
4.28152,0.127077,0.127077
4.28641,0.127077,0.127077
4.2913,0.12219,0.127077
4.29619,0.127077,0.127077
4.30108,0.127077,0.127077
4.30596,0.127077,0.127077
4.31085,0.127077,0.127077
4.31574,0.127077,0.127077
4.32063,0.127077,0.127077
4.32551,0.127077,0.127077
4.3304,0.127077,0.127077
4.33529,0.127077,0.127077
4.34018,0.127077,0.12219
4.34506,0.127077,0.127077
4.34995,0.127077,0.127077
4.35484,0.127077,0.127077
4.35973,0.127077,0.127077
4.36461,0.127077,0.127077
4.3695,0.127077,0.127077
4.37439,0.127077,0.127077
4.37928,0.127077,0.12219
4.38416,0.127077,0.127077
4.38905,0.127077,0.127077
4.39394,0.127077,0.127077
4.39883,0.12219,0.127077
4.40371,0.127077,0.127077
4.4086,0.12219,0.12219
4.41349,0.127077,0.127077
4.41838,0.127077,0.127077
4.42326,0.127077,0.127077
4.42815,0.127077,0.127077
4.43304,0.127077,0.127077
4.43793,0.127077,0.127077
4.44282,0.127077,0.127077
4.4477,0.127077,0.127077
4.45259,0.127077,0.127077
4.45748,0.127077,0.127077
4.46237,0.127077,0.12219
4.46725,0.12219,0.127077
4.47214,0.127077,0.127077
4.47703,0.127077,0.127077
4.48192,0.127077,0.127077
4.4868,0.127077,0.127077
4.49169,0.127077,0.127077
4.49658,0.127077,0.127077
4.50147,0.127077,0.127077
4.50635,0.127077,0.127077
4.51124,0.127077,0.12219
4.51613,0.127077,0.127077
4.52102,0.127077,0.127077
4.5259,0.127077,0.127077
4.53079,0.127077,0.127077
4.53568,0.127077,0.127077
4.54057,0.127077,0.127077
4.54545,0.127077,0.127077
4.55034,0.127077,0.127077
4.55523,0.127077,0.127077
4.56012,0.127077,0.127077
4.565,0.127077,0.12219
4.56989,0.127077,0.127077
4.57478,0.127077,0.127077
4.57967,0.127077,0.127077
4.58456,0.127077,0.127077
4.58944,0.127077,0.127077
4.59433,0.127077,0.127077
4.59922,0.127077,0.127077
4.60411,0.127077,0.127077
4.60899,0.12219,0.127077
4.61388,0.12219,0.127077
4.61877,0.127077,0.12219
4.62366,0.127077,0.127077
4.62854,0.127077,0.127077
4.63343,0.127077,0.127077
4.63832,0.127077,0.127077
4.64321,0.127077,0.127077
4.64809,0.127077,0.127077
4.65298,0.127077,0.127077
4.65787,0.127077,0.127077
4.66276,0.127077,0.127077
4.66764,0.12219,0.12219
4.67253,0.127077,0.12219
4.67742,0.127077,0.12219
4.68231,0.127077,0.127077
