K155LA3,Up,Down
1.03128,3.56794,3.57283
1.03617,3.56794,3.56794
1.04106,3.56305,3.56794
1.04594,3.55816,3.56305
1.05083,3.55327,3.55816
1.05572,3.55327,3.55327
1.06061,3.54839,3.55327
1.06549,3.5435,3.5435
1.07038,3.53861,3.53861
1.07527,3.53372,3.53861
1.08016,3.52395,3.52884
1.08504,3.51906,3.52395
1.08993,3.50929,3.51417
1.09482,3.5044,3.50929
1.09971,3.49462,3.49951
1.10459,3.48974,3.48974
1.10948,3.47507,3.47996
1.11437,3.4653,3.47019
1.11926,3.45552,3.46041
1.12414,3.44086,3.44575
1.12903,3.43109,3.43597
1.13392,3.41642,3.41642
1.13881,3.39687,3.40176
1.1437,3.3871,3.3871
1.14858,3.36266,3.36755
1.15347,3.348,3.35288
1.15836,3.31867,3.32845
1.16325,3.29912,3.30401
1.16813,3.27957,3.27957
1.17302,3.25024,3.25513
1.17791,3.21603,3.22581
1.1828,3.19648,3.20137
1.18768,3.16716,3.17693
1.19257,3.13294,3.14272
1.19746,3.09384,3.09873
1.20235,3.0694,3.07429
1.20723,3.01564,3.02053
1.21212,2.97654,2.99609
1.21701,2.9521,2.92766
1.2219,2.88368,2.89834
1.22678,2.85435,2.82502
1.23167,2.81036,2.80547
1.23656,2.74682,2.72239
1.24145,2.69306,2.69306
1.24633,2.64907,2.62952
1.25122,2.57576,2.56109
1.25611,2.51222,2.52688
1.261,2.47801,2.46823
1.26588,2.44379,2.40469
1.27077,2.39492,2.35093
1.27566,2.31183,2.30205
1.28055,2.27273,2.25806
1.28543,2.22385,2.17986
1.29032,2.16031,2.1261
1.29521,2.13099,2.11144
1.3001,2.08211,2.01857
1.30499,2.01369,1.95992
1.30987,1.95015,1.90616
1.31476,1.9306,1.8915
1.31965,1.83284,1.78397
1.32454,1.77908,1.76931
1.32942,1.74487,1.67155
1.33431,1.66178,1.62757
1.3392,1.62757,1.57869
1.34409,1.5347,1.47116
1.34897,1.4565,1.44184
1.35386,1.38807,1.32454
1.35875,1.29521,1.3001
1.36364,1.27566,1.23167
1.36852,1.15836,1.10948
1.37341,1.12414,1.08993
1.3783,1.00196,0.982405
1.38319,0.943304,0.909091
1.38807,0.845552,0.874878
1.39296,0.772239,0.0488759
1.39785,0.7087,0.0488759
1.40274,0.640274,0.0488759
1.40762,0.312805,0.0488759
1.41251,0.0684262,0.0488759
1.4174,0.0439883,0.0488759
1.42229,0.0293255,0.0488759
1.42717,0.0195503,0.0488759
1.43206,0.00488759,0.0488759
1.43695,0.0488759,0.0488759
1.44184,0.0488759,0.0488759
1.44673,0.0488759,0.0488759
1.45161,0.0488759,0.0488759
1.4565,0.0488759,0.0488759
1.46139,0.0488759,0.0488759
1.46628,0.0488759,0.0488759
1.47116,0.0488759,0.0488759
1.47605,0.0488759,0.0488759
1.48094,0.0488759,0.0488759
1.48583,0.0488759,0.0488759
1.49071,0.0488759,0.0488759
1.4956,0.0488759,0.0488759
1.50049,0.0537634,0.0488759
