0;0;
0.00976562;0;
0.0195312;0;
0.0292969;0.01;
0.0390625;0.01;
0.0488281;0.03;
0.0585938;0.04;
0.0683594;0.05;
0.078125;0.06;
0.0878906;0.07;
0.0976562;0.08;
0.107422;0.09;
0.117188;0.1;
0.126953;0.11;
0.136719;0.11;
0.146484;0.13;
0.15625;0.13;
0.166016;0.15;
0.175781;0.16;
0.185547;0.16;
0.195312;0.18;
0.205078;0.18;
0.214844;0.19;
0.224609;0.2;
0.234375;0.21;
0.244141;0.22;
0.253906;0.23;
0.263672;0.24;
0.273438;0.25;
0.283203;0.26;
0.292969;0.27;
0.302734;0.28;
0.3125;0.29;
0.322266;0.3;
0.332031;0.3;
0.341797;0.31;
0.351562;0.32;
0.361328;0.33;
0.371094;0.34;
0.380859;0.35;
0.390625;0.36;
0.400391;0.37;
0.410156;0.38;
0.419922;0.39;
0.429688;0.4;
0.439453;0.41;
0.449219;0.42;
0.458984;0.43;
0.46875;0.44;
0.478516;0.45;
0.488281;0.46;
0.498047;0.47;
0.507812;0.47;
0.517578;0.49;
0.527344;0.49;
0.537109;0.51;
0.546875;0.51;
0.556641;0.53;
0.566406;0.53;
0.576172;0.54;
0.585938;0.56;
0.595703;0.56;
0.605469;0.57;
0.615234;0.58;
0.625;0.59;
0.634766;0.6;
0.644531;0.61;
0.654297;0.63;
0.664062;0.63;
0.673828;0.64;
0.683594;0.65;
0.693359;0.66;
0.703125;0.67;
0.712891;0.67;
0.722656;0.69;
0.732422;0.71;
0.742188;0.7;
0.751953;0.71;
